geoid,name,state,source_id,median_permitting_timeline,pctile_1,pctile_10,pctile_25,pctile_50,pctile_75,pctile_90,pctile_95,data_source,num_records,population,year
4202288,Ambridge borough,Pennsylvania,,,,,,,,,,,,6937,
1302060,Ambrose city,Georgia,,,,,,,,,,,,221,
3801860,Ambrose city,North Dakota,,,,,,,,,,,,29,
51007,Amelia County,Virginia,,,,,,,,,,,,13309,
3801940,Amenia city,North Dakota,,,,,,,,,,,,181,
3602701693,Amenia town,New York,,,,,,,,,,,,3830,
1601900,American Falls city,Idaho,,,,,,,,,,,,4573,
4901310,American Fork city,Utah,248,,,,,,,,,,,33986,
3900301756,American township,Ohio,,,,,,,,,,,,14468,
1302116,Americus city,Georgia,,,,,,,,,,,,16020,
2001675,Americus city,Kansas,,,,,,,,,,,,1028,
5501725,Amery city,Wisconsin,,,,,,,,,,,,2959,
4803072,Ames city,Texas,,,,,,,,,,,,987,
4001950,Ames town,Oklahoma,,,,,,,,,,,,232,
3601737,Ames village,New York,,,,,,,,,,,,166,
3901784,Amesville village,Ohio,,,,,,,,,,,,160,
3901798,Amherst city,Ohio,,,,,,,,,,,,12740,
4803084,Amherst city,Texas,,,,,,,,,,,,1015,
51009,Amherst County,Virginia,,,,,,,,,,,,29200,
5501800,Amherst Junction village,Wisconsin,,,,,,,,,,,,309,
